index,Supplement,Oil_retention,Water_retention,Bulk_density,Tapped_density,L,a,b,C,h,Curcumin_binding_capacity,Particle_size,Specific_surface_area,Biscuit_hardness,Custard_viscosity,Custard_firmness,Custard_stickiness,Cellulose,Hemicellulose,Dextrine,Pectin,Lignin,Fructans,Insoluble_fibre,Soluble_fibre,Protein,Carbs,Fat,Water,Ash,type,bioaccessibility
16,FST 00224 ApplePRO 60+,2.3,5.0975,0.411453333,0.689655172,46.99,22.76666667,36.72666667,43.21666667,58.20666667,320,64.59866667,0.409,1229,25000,296.8333333,-137.5,0.016132075,0.009056604,0,0.003396226,0.005660377,0,0.030283019,0.004528302,0.089471698,0.585283019,0.105584906,0.298226415,0.012075472,1,51.68001052
17,FST 00224 ApplePRO 60+,2.3,5.0975,0.411453333,0.689655172,46.99,22.76666667,36.72666667,43.21666667,58.20666667,320,64.59866667,0.409,1229,25000,296.8333333,-137.5,0.016132075,0.009056604,0,0.003396226,0.005660377,0,0.030283019,0.004528302,0.089471698,0.585283019,0.105584906,0.298226415,0.012075472,1,48.37853665
18,FST 00224 ApplePRO 60+,2.3,5.0975,0.411453333,0.689655172,46.99,22.76666667,36.72666667,43.21666667,58.20666667,320,64.59866667,0.409,1229,25000,296.8333333,-137.5,0.016132075,0.009056604,0,0.003396226,0.005660377,0,0.030283019,0.004528302,0.089471698,0.585283019,0.105584906,0.298226415,0.012075472,1,51.19326038
19,FST 00224 ApplePRO 60+,2.3,5.0975,0.411453333,0.689655172,46.99,22.76666667,36.72666667,43.21666667,58.20666667,320,64.59866667,0.409,1229,25000,296.8333333,-137.5,0.016132075,0.009056604,0,0.003396226,0.005660377,0,0.030283019,0.004528302,0.089471698,0.585283019,0.105584906,0.298226415,0.012075472,1,54.24169858
20,FST 00224 ApplePRO 60+,2.3,5.0975,0.411453333,0.689655172,46.99,22.76666667,36.72666667,43.21666667,58.20666667,320,64.59866667,0.409,1229,25000,296.8333333,-137.5,0.016132075,0.009056604,0,0.003396226,0.005660377,0,0.030283019,0.004528302,0.089471698,0.585283019,0.105584906,0.298226415,0.012075472,1,57.44773685
21,FST 00224 ApplePRO 60+,2.3,5.0975,0.411453333,0.689655172,46.99,22.76666667,36.72666667,43.21666667,58.20666667,320,64.59866667,0.409,1229,25000,296.8333333,-137.5,0.016132075,0.009056604,0,0.003396226,0.005660377,0,0.030283019,0.004528302,0.089471698,0.585283019,0.105584906,0.298226415,0.012075472,1,52.29983966
22,FST 00224 ApplePRO 60+,2.3,5.0975,0.411453333,0.689655172,46.99,22.76666667,36.72666667,43.21666667,58.20666667,320,64.59866667,0.409,1229,25000,296.8333333,-137.5,0.016132075,0.009056604,0,0.003396226,0.005660377,0,0.030283019,0.004528302,0.089471698,0.585283019,0.105584906,0.298226415,0.012075472,1,53.70611798
23,FST 00224 ApplePRO 60+,2.3,5.0975,0.411453333,0.689655172,46.99,22.76666667,36.72666667,43.21666667,58.20666667,320,64.59866667,0.409,1229,25000,296.8333333,-137.5,0.016132075,0.009056604,0,0.003396226,0.005660377,0,0.030283019,0.004528302,0.089471698,0.585283019,0.105584906,0.298226415,0.012075472,1,58.80418131
24,FST 00007 KaroPRO 1-26,4.3,8.659933333,0.17038,0.229007634,84.51333333,8.52,23.55333333,25.04666667,70.11,100,254.6355,0.0428,2075,25000,317.8333333,-165.5,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,55.7430396
25,FST 00007 KaroPRO 1-26,4.3,8.659933333,0.17038,0.229007634,84.51333333,8.52,23.55333333,25.04666667,70.11,100,254.6355,0.0428,2075,25000,317.8333333,-165.5,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,55.3682312
26,FST 00007 KaroPRO 1-26,4.3,8.659933333,0.17038,0.229007634,84.51333333,8.52,23.55333333,25.04666667,70.11,100,254.6355,0.0428,2075,25000,317.8333333,-165.5,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,52.46547011
27,FST 00007 KaroPRO 1-26,4.3,8.659933333,0.17038,0.229007634,84.51333333,8.52,23.55333333,25.04666667,70.11,100,254.6355,0.0428,2075,25000,317.8333333,-165.5,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,54.26799766
28,FST 00007 KaroPRO 1-26,4.3,8.659933333,0.17038,0.229007634,84.51333333,8.52,23.55333333,25.04666667,70.11,100,254.6355,0.0428,2075,25000,317.8333333,-165.5,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,51.80153356
29,FST 00007 KaroPRO 1-26,4.3,8.659933333,0.17038,0.229007634,84.51333333,8.52,23.55333333,25.04666667,70.11,100,254.6355,0.0428,2075,25000,317.8333333,-165.5,0.024056604,0.003962264,0,0.002830189,0.003962264,0,0.019528302,0.015283019,0.08645283,0.560377358,0.097283019,0.290679245,0.020377358,1,48.25990682
